date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:18	19/19	---MCZ	200	added ('OK')	text/css	etag:W/%2262c175ea-1b%22	https://mrredaelfarouk.com/frontend/css/rtl.css	E:/new%20project/mrredaelfarouk.com/frontend/css/rtl.css	(from https://mrredaelfarouk.com/)
14:52:19	7073/7073	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2012:52:18%20GMT	https://mrredaelfarouk.com/login	E:/new%20project/mrredaelfarouk.com/login.html	(from https://mrredaelfarouk.com/)
14:52:19	387442/387442	---MCZ	200	added ('OK')	image/png	etag:W/%2262c175ea-5e972%22	https://mrredaelfarouk.com/frontend/images/thumbnail.png	E:/new%20project/mrredaelfarouk.com/frontend/images/thumbnail.png	(from https://mrredaelfarouk.com/)
14:52:20	325/325	---MC-	302	error ('Found')	text/html	date:Mon,%2028%20Nov%202022%2012:52:19%20GMT	https://mrredaelfarouk.com/lectures/53	E:/new%20project/mrredaelfarouk.com/lectures/53	(from https://mrredaelfarouk.com/)
14:52:20	315820/315820	---MC-	200	added ('OK')	image/jpeg	etag:W/%22632186c3-4d1ac%22	https://mrredaelfarouk.com/storage/uploads/sliders/1663141571_JY6UOB.jpeg	E:/new%20project/mrredaelfarouk.com/storage/uploads/sliders/1663141571_JY6UOB.jpg	(from https://mrredaelfarouk.com/)
14:52:20	325/325	---MC-	302	error ('Found')	text/html	date:Mon,%2028%20Nov%202022%2012:52:20%20GMT	https://mrredaelfarouk.com/lectures/50	E:/new%20project/mrredaelfarouk.com/lectures/50	(from https://mrredaelfarouk.com/)
14:52:21	325/325	---MC-	302	error ('Found')	text/html	date:Mon,%2028%20Nov%202022%2012:52:20%20GMT	https://mrredaelfarouk.com/lectures/46	E:/new%20project/mrredaelfarouk.com/lectures/46	(from https://mrredaelfarouk.com/)
14:52:21	979369/979369	---MCZ	200	added ('OK')	image/png	etag:W/%22637c8f92-ef1a9%22	https://mrredaelfarouk.com/storage/uploads/lectures/1669107602_12LDLm.png	E:/new%20project/mrredaelfarouk.com/storage/uploads/lectures/1669107602_12LDLm.png	(from https://mrredaelfarouk.com/)
14:52:21	727137/727137	---MCZ	200	added ('OK')	image/png	etag:W/%2263735e95-b1861%22	https://mrredaelfarouk.com/storage/uploads/lectures/1668505237_CXAJoF.png	E:/new%20project/mrredaelfarouk.com/storage/uploads/lectures/1668505237_CXAJoF.png	(from https://mrredaelfarouk.com/)
14:52:22	325/325	---MC-	302	error ('Found')	text/html	date:Mon,%2028%20Nov%202022%2012:52:21%20GMT	https://mrredaelfarouk.com/lectures	E:/new%20project/mrredaelfarouk.com/lectures	(from https://mrredaelfarouk.com/)
14:52:22	35967/35967	---MCZ	200	added ('OK')	image/png	etag:W/%2262d04c9f-8c7f%22	https://mrredaelfarouk.com/storage/uploads/website/1657818271_W2wOoN.png	E:/new%20project/mrredaelfarouk.com/storage/uploads/website/1657818271_W2wOoN.png	(from https://mrredaelfarouk.com/)
14:52:22	727813/727813	---MCZ	200	added ('OK')	image/png	etag:W/%2263668993-b1b05%22	https://mrredaelfarouk.com/storage/uploads/lectures/1667664275_hxev9q.png	E:/new%20project/mrredaelfarouk.com/storage/uploads/lectures/1667664275_hxev9q.png	(from https://mrredaelfarouk.com/)
14:52:22	255289/255289	---MCZ	200	added ('OK')	image/png	etag:W/%2262c175ea-3e539%22	https://mrredaelfarouk.com/frontend/images/thumbnail-1.png	E:/new%20project/mrredaelfarouk.com/frontend/images/thumbnail-1.png	(from https://mrredaelfarouk.com/)
14:52:22	89501/89501	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262c175ea-15d9d%22	https://mrredaelfarouk.com/frontend/js/jquery-3.6.0.min.js	E:/new%20project/mrredaelfarouk.com/frontend/js/jquery-3.6.0.min.js	(from https://mrredaelfarouk.com/)
14:52:22	44342/44342	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262c175ea-ad36%22	https://mrredaelfarouk.com/frontend/js/owl.carousel.min.js	E:/new%20project/mrredaelfarouk.com/frontend/js/owl.carousel.min.js	(from https://mrredaelfarouk.com/)
14:52:23	21256/21256	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262c175ea-5308%22	https://mrredaelfarouk.com/frontend/js/popper.min.js	E:/new%20project/mrredaelfarouk.com/frontend/js/popper.min.js	(from https://mrredaelfarouk.com/)
14:52:23	63450/63450	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262c175ea-f7da%22	https://mrredaelfarouk.com/frontend/js/bootstrap-5.min.js	E:/new%20project/mrredaelfarouk.com/frontend/js/bootstrap-5.min.js	(from https://mrredaelfarouk.com/)
14:52:23	2950/2950	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263173cdf-183d%22	https://mrredaelfarouk.com/frontend/js/main.js	E:/new%20project/mrredaelfarouk.com/frontend/js/main.js	(from https://mrredaelfarouk.com/)
14:52:23	14726/14726	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262c175ea-6dde%22	https://mrredaelfarouk.com/frontend/js/main-2.js	E:/new%20project/mrredaelfarouk.com/frontend/js/main-2.js	(from https://mrredaelfarouk.com/)
14:52:24	36156/36156	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2028%20Nov%202022%2012:52:23%20GMT	https://mrredaelfarouk.com/cdn-cgi/challenge-platform/h/b/scripts/alpha/invisible.js?ts=	E:/new%20project/mrredaelfarouk.com/cdn-cgi/challenge-platform/h/b/scripts/alpha/invisible5615.js	(from https://mrredaelfarouk.com/)
14:52:24	104544/104544	---M--	200	added ('OK')	font/woff2	etag:%2262c175ea-19860%22	https://mrredaelfarouk.com/frontend/webfonts/fa-brands-400.woff2	E:/new%20project/mrredaelfarouk.com/frontend/webfonts/fa-brands-400.woff2	(from https://mrredaelfarouk.com/frontend/css/all.min.css)
14:52:24	180148/180148	---M--	200	added ('OK')	application/octet-stream	etag:%2262c175ea-2bfb4%22	https://mrredaelfarouk.com/frontend/webfonts/fa-brands-400.ttf	E:/new%20project/mrredaelfarouk.com/frontend/webfonts/fa-brands-400.ttf	(from https://mrredaelfarouk.com/frontend/css/all.min.css)
14:52:25	23900/23900	---M--	200	added ('OK')	font/woff2	etag:%2262c175ea-5d5c%22	https://mrredaelfarouk.com/frontend/webfonts/fa-regular-400.woff2	E:/new%20project/mrredaelfarouk.com/frontend/webfonts/fa-regular-400.woff2	(from https://mrredaelfarouk.com/frontend/css/all.min.css)
14:52:25	60380/60380	---M--	200	added ('OK')	application/octet-stream	etag:%2262c175ea-ebdc%22	https://mrredaelfarouk.com/frontend/webfonts/fa-regular-400.ttf	E:/new%20project/mrredaelfarouk.com/frontend/webfonts/fa-regular-400.ttf	(from https://mrredaelfarouk.com/frontend/css/all.min.css)
14:52:25	126828/126828	---M--	200	added ('OK')	font/woff2	etag:%2262c175ea-1ef6c%22	https://mrredaelfarouk.com/frontend/webfonts/fa-solid-900.woff2	E:/new%20project/mrredaelfarouk.com/frontend/webfonts/fa-solid-900.woff2	(from https://mrredaelfarouk.com/frontend/css/all.min.css)
14:52:26	303480/303480	---M--	200	added ('OK')	application/octet-stream	etag:%2262c175ea-4a178%22	https://mrredaelfarouk.com/frontend/webfonts/fa-solid-900.ttf	E:/new%20project/mrredaelfarouk.com/frontend/webfonts/fa-solid-900.ttf	(from https://mrredaelfarouk.com/frontend/css/all.min.css)
14:52:26	4956/4956	---M--	200	added ('OK')	font/woff2	etag:%2262c175ea-135c%22	https://mrredaelfarouk.com/frontend/webfonts/fa-v4compatibility.woff2	E:/new%20project/mrredaelfarouk.com/frontend/webfonts/fa-v4compatibility.woff2	(from https://mrredaelfarouk.com/frontend/css/all.min.css)
14:52:26	10556/10556	---M--	200	added ('OK')	application/octet-stream	etag:%2262c175ea-293c%22	https://mrredaelfarouk.com/frontend/webfonts/fa-v4compatibility.ttf	E:/new%20project/mrredaelfarouk.com/frontend/webfonts/fa-v4compatibility.ttf	(from https://mrredaelfarouk.com/frontend/css/all.min.css)
14:52:27	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Nov%202022%2012:52:27%20GMT	https://mrredaelfarouk.com/frontend/css/owl.video.play.png	E:/new%20project/mrredaelfarouk.com/frontend/css/owl.video.play.png	(from https://mrredaelfarouk.com/frontend/css/owl.carousel.min.css)
14:52:27	131512/131512	---M--	200	added ('OK')	application/octet-stream	etag:%2262c175ea-201b8%22	https://mrredaelfarouk.com/frontend/fonts/Nunito-Black.ttf	E:/new%20project/mrredaelfarouk.com/frontend/fonts/Nunito-Black.ttf	(from https://mrredaelfarouk.com/frontend/css/mainstyle.css)
14:52:28	131616/131616	---M--	200	added ('OK')	application/octet-stream	etag:%2262c175ea-20220%22	https://mrredaelfarouk.com/frontend/fonts/Nunito-Bold.ttf	E:/new%20project/mrredaelfarouk.com/frontend/fonts/Nunito-Bold.ttf	(from https://mrredaelfarouk.com/frontend/css/mainstyle.css)
14:52:28	131568/131568	---M--	200	added ('OK')	application/octet-stream	etag:%2262c175ea-201f0%22	https://mrredaelfarouk.com/frontend/fonts/Nunito-ExtraBold.ttf	E:/new%20project/mrredaelfarouk.com/frontend/fonts/Nunito-ExtraBold.ttf	(from https://mrredaelfarouk.com/frontend/css/mainstyle.css)
14:52:28	131492/131492	---M--	200	added ('OK')	application/octet-stream	etag:%2262c175ea-201a4%22	https://mrredaelfarouk.com/frontend/fonts/Nunito-ExtraLight.ttf	E:/new%20project/mrredaelfarouk.com/frontend/fonts/Nunito-ExtraLight.ttf	(from https://mrredaelfarouk.com/frontend/css/mainstyle.css)
14:52:28	131700/131700	---M--	200	added ('OK')	application/octet-stream	etag:%2262c175ea-20274%22	https://mrredaelfarouk.com/frontend/fonts/Nunito-Light.ttf	E:/new%20project/mrredaelfarouk.com/frontend/fonts/Nunito-Light.ttf	(from https://mrredaelfarouk.com/frontend/css/mainstyle.css)
14:52:28	131788/131788	---M--	200	added ('OK')	application/octet-stream	etag:%2262c175ea-202cc%22	https://mrredaelfarouk.com/frontend/fonts/Nunito-Medium.ttf	E:/new%20project/mrredaelfarouk.com/frontend/fonts/Nunito-Medium.ttf	(from https://mrredaelfarouk.com/frontend/css/mainstyle.css)
14:52:29	131680/131680	---M--	200	added ('OK')	application/octet-stream	etag:%2262c175ea-20260%22	https://mrredaelfarouk.com/frontend/fonts/Nunito-Regular.ttf	E:/new%20project/mrredaelfarouk.com/frontend/fonts/Nunito-Regular.ttf	(from https://mrredaelfarouk.com/frontend/css/mainstyle.css)
14:52:29	131648/131648	---M--	200	added ('OK')	application/octet-stream	etag:%2262c175ea-20240%22	https://mrredaelfarouk.com/frontend/fonts/Nunito-SemiBold.ttf	E:/new%20project/mrredaelfarouk.com/frontend/fonts/Nunito-SemiBold.ttf	(from https://mrredaelfarouk.com/frontend/css/mainstyle.css)
14:52:29	29385/29385	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2012:52:29%20GMT	https://mrredaelfarouk.com/register	E:/new%20project/mrredaelfarouk.com/register.html	(from https://mrredaelfarouk.com/login)
14:52:30	6425/6425	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2012:52:29%20GMT	https://mrredaelfarouk.com/password/reset	E:/new%20project/mrredaelfarouk.com/password/reset.html	(from https://mrredaelfarouk.com/login)
14:52:30	19152/19152	---MCZ	200	added ('OK')	text/css	etag:W/%2262c4b61e-62a6%22	https://mrredaelfarouk.com/frontend/vendor/intl-tel-input/css/intlTelInput.css	E:/new%20project/mrredaelfarouk.com/frontend/vendor/intl-tel-input/css/intlTelInput.css	(from https://mrredaelfarouk.com/register)
14:52:30	1266025/1266025	---MC-	200	added ('OK')	image/jpeg	etag:W/%226315c027-135169%22	https://mrredaelfarouk.com/frontend/images/1629820029_fLIcpK.jpeg	E:/new%20project/mrredaelfarouk.com/frontend/images/1629820029_fLIcpK.jpg	(from https://mrredaelfarouk.com/login)
14:52:31	850/850	---MC-	200	added ('OK')	text/javascript	date:Mon,%2028%20Nov%202022%2012:52:30%20GMT	https://www.google.com/recaptcha/api.js?	E:/new%20project/www.google.com/recaptcha/apid41d.js	(from https://mrredaelfarouk.com/register)
14:52:31	42467/42467	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262c4b61e-15cfa%22	https://mrredaelfarouk.com/frontend/vendor/intl-tel-input/js/intlTelInput.js	E:/new%20project/mrredaelfarouk.com/frontend/vendor/intl-tel-input/js/intlTelInput.js	(from https://mrredaelfarouk.com/register)
14:52:31	201573/201573	---MCZ	200	added ('OK')	image/png	etag:W/%2262c175ea-31365%22	https://mrredaelfarouk.com/frontend/images/3053909.png	E:/new%20project/mrredaelfarouk.com/frontend/images/3053909.png	(from https://mrredaelfarouk.com/password/reset)
14:52:32	70857/70857	---MCZ	200	added ('OK')	image/png	etag:W/%2262c4b61e-114c9%22	https://mrredaelfarouk.com/frontend/vendor/intl-tel-input/img/flags.png	E:/new%20project/mrredaelfarouk.com/frontend/vendor/intl-tel-input/img/flags.png	(from https://mrredaelfarouk.com/frontend/vendor/intl-tel-input/css/intlTelInput.css)
14:52:32	174369/174369	---MCZ	200	added ('OK')	image/png	etag:W/%2262c4b61e-2a921%22	https://mrredaelfarouk.com/frontend/vendor/intl-tel-input/img/flags@2x.png	E:/new%20project/mrredaelfarouk.com/frontend/vendor/intl-tel-input/img/flags@2x.png	(from https://mrredaelfarouk.com/frontend/vendor/intl-tel-input/css/intlTelInput.css)
